,Du 04/08/2025 Au 10/08/2025,,,,,,,,,,,ZONE 1 (E),ZONE SEUILS ,ZONE SUPRA MAX,VITESSE (FR),Total
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,S1,"90,15","15,8",6,"1,5","113,45"
SEANCES,JOG 1H & MUSCU ,1H > 2 x (5 x 1 r1) r4,JOG 30/40 ,Mat > ACTIF 1H         Apm > JOG 40' ,Mat > 6 x 800 & 4 x 200 r200                   Apm > PPG & 6 x 150 ,JOG 1H ,Mat > 2 x 15' (Sv1) r5 & 6 x 30/1               Apm > CÔTES LONGUE 2 x 3 & 4 x 2 (bpm Sv2) ,,,,S2,"95,96",28,0,0,"123,96"
ZONE 1 (E),"9,15",11,"6,2","21,4",12,10,"20,4","90,15","79,4623182",,S3,"108,78","28,8","2,8","0,6","140,98"
ZONE 2 (Seuils) ,,,,,"4,4",,"11,4","15,8","13,92684002",,S4,"89,36","15,4","2,6","1,2","108,56"
ZONE 3 (Supra max) ,,6,,,,,,6,"5,288673424",,S5,"102,8","17,2","6,4",0,"126,4"
VITESSE (FR),,,,,"1,5",,,"1,5","1,322168356",,S6,"101,9","15,9",1,"1,2",120
VOLUME,"9,15",17,"6,2","21,4","17,9",10,"31,8","113,45",,,S7,"112,2","17,3","5,1",0,"134,6"
,Du 11/08/2025 Au 17/08/2025,,,,,,,,,,S8,"109,9","19,3","3,2",0,"132,4"
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,S9,,,,,
SEANCES,JOG 1H,Mar > ACTIF 1H ~4'20/km  Apm > 6 x 4 r2 (Sv2) ,JOG 1H , TEMPO 10K > ~3'45/km (en négatif Split) ,Mat > 15 x 400 r100 actif (~3'10)          Apm > JOG 40  ,JOG 1H ,SL 15K & LD ,,,,,,,,,
ZONE 1 (E),"7,06",21,"13,3","6,6",18,8,22,"95,96","77,41206841",,,,,,,
ZONE 2 (Seuils) ,,"7,2",,10,4,,"6,8",28,"22,58793159",,,,,,,
ZONE 3 (Supra max) ,,,,,,,,0,0,,,,,,,
VITESSE (FR),,,,,,,,0,0,,,,,,,
VOLUME,"7,06","28,2","13,3","16,6",22,8,"28,8","123,96",,,,,,,,
,Du 18/08/2025 Au 24/08/2025,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,
SEANCES,Mat > JOG 1H         Apm > MUSCU ,"Mat > 1,6K 1,2K 0,8 & 2 x 0,4 (100%)                Apm > JOG 40 ",JOG 1H ,JOG 40  ,Mat > ACTIF 1H (~4'00/km)         Apm > JOG 30 & 4 x 150 r4 ,Sv2 > 5 x 4 r1'30,SL 1H30 ,,,,,,,,,
ZONE 1 (E),"12,1",20,"8,48",18,17,"14,2",19,"108,78","77,15988083",,,,,,,
ZONE 2 (Seuils) ,,"1,6",,,15,"6,2",6,"28,8","20,42842956",,,,,,,
ZONE 3 (Supra max) ,,"2,8",,,,,,"2,8","1,986097319",,,,,,,
VITESSE (FR),,,,,"0,6",,,"0,6","0,4255922826",,,,,,,
VOLUME,"12,1","24,4","8,48",18,"32,6","20,4",25,"140,98",,,,,,,,
Du 25/08/2025 Au 31/08/2025,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,
SEANCES,JOG 40 & MUSCU ,Mat > VMA (100%) 8 x 1 r1     Apm > JOG 40,REPOS,1H > 30' ACTIF (~3'50/km) ,Mat > Sv2 2 x 6 (~3'15/km) r2 & 2 x 4 r1 (~3'10/km)              Apm > JOG 40,JOG 1H & MUSCU ,6 x 200 r200 marche ~29'´ ,,,,,,,,,
ZONE 1 (E),"10,66",33,,"9,2","16,5","9,5","10,5","89,36","82,31392778",,,Km.h,FC ,,,
