,Du 04/08/2025 Au 10/08/2025,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,8 x 1 r1 ,PROG 40' ,JOG 40 ,Mat > ACTIF 1H         Apm > JOG 40' ,Mat > 5 x 800 r200 (Sv1) & 4 x 200                   Apm > PPG & 6 x 150 ,JOG 1H ,Mat > 2 x 15 r5 (Sv1) & 6 x 30/1          Apm > CÔTES 2 x 3 & 4 x 2 (bpm Sv2) ,,,,,,,ZONE 1 (E),ZONE SEUILS ,ZONE SUPRA MAX,VITESSE (FR),Total
ZONE 1 (E),"8,26","15,44","6,3","23,92","10,76","10,63","14,35","89,66","75,66244726",,,,S1,"89,66","23,85","4,09","0,9","118,5"
ZONE 2 (Seuils) ,,,,,"7,46",,"16,39","23,85","20,12658228",,,,S2,"81,43","30,48",0,0,"111,91"
ZONE 3 (Supra max) ,"4,09",,,,,,,"4,09","3,451476793",,,,S3,"105,4","3,8","1,6","0,9","111,7"
VITESSE (FR),,,,,"0,9",,,"0,9","0,7594936709",,,,S4,"54,58",6,"2,5","2,6","65,68"
VOLUME,"12,35","15,44","6,3","23,92","19,12","10,63","30,74","118,5",,,,,S5,"73,81","20,86",6,"2,4","103,07"
,Du 11/08/2025 Au 17/08/2025,,,,,,,,,,,,S6,"77,72","21,54","1,52",0,"100,78"
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,S7,"78,33","13,61","2,46","1,8","96,2"
SEANCES,JOG 1H,Mar > ACTIF 1H ~4'20/km  Apm > 6 x 4 r2 (Sv2) ,JOG 1H OU REPOS , TEMPO 10K > ~3'45/km ,10 x 400 r100 actif (~3'10)         ,JOG 40' ,SL 15K > 20' (~3'50/km)  5 (T) ,,,,,,S8,"46,04","14,85","1,6",0,"62,49"
ZONE 1 (E),"9,62","20,03","10,83","6,03","14,37","8,01","12,54","81,43","72,76382808",,,,S9,"48,09",0,"2,8","0,9","51,79"
ZONE 2 (Seuils) ,,"8,61",,10,"5,14",,"6,73","30,48","27,23617192",,,,S10,"61,32","21,81",0,"1,5","84,63"
ZONE 3 (Supra max) ,,,,,,,,0,0,,,,S11,"22,76","16,31",,"0,96","40,03"
VITESSE (FR),,,,,,,,0,0,,,,S12,,,,,0
VOLUME,"9,62","28,64","10,83","16,03","19,51","8,01","19,27","111,91",,,,,S13,,,,,0
,Du 18/08/2025 Au 24/08/2025,,,,,,,,,,,,S14,,,,,0
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,S15,,,,,0
SEANCES,Mat > JOG 1H         Apm > MUSCU ,"Mat > 1,6K 1,2K 0,8 & 2 x 0,4 (100%)                Apm > JOG 40 ",JOG 1H,Mat > MUSCU.            Apm > JOG 40  ,"Mat > ACTIF 1H (~4'00/km)         Apm > Côtes 6 x 150 & 2 x 0,5K ",JOG 1H ,JOG 1H,,,,,,S16,,,,,0
ZONE 1 (E),12,"21,62","10,02","12,76","28,9","10,03","10,07","105,4","94,35989257",,,,,,,,,
ZONE 2 (Seuils) ,,"2,8",,,1,,,"3,8","3,401969561",,,,,,,,,
ZONE 3 (Supra max) ,,"1,6",,,,,,"1,6","1,432408236",,,,,,,,,
VITESSE (FR),,,,,"0,9",,,"0,9","0,8057296329",,,,,,,,,
VOLUME,12,"26,02","10,02","12,76","30,8","10,03","10,07","111,7",,,,,,,,,,
Du 25/08/2025 Au 31/08/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,JOG 40 & 8 LD ,8 x 1 r1 (100% VMA)                ,REPOS,JOG 40' ,JOG 1H & LD ,JOG 30 & 6 x 200 r200 marche,PROG 25 & 3 x 2K r2 (~3'15/km) ,,,,,,,,,,,
ZONE 1 (E),"7,63","9,57",,6,"10,77","11,01","9,6","54,58","83,0998782",,,,,,,,,
ZONE 2 (Seuils) ,,,,,,,6,6,"9,135200974",,,,,,,,,
ZONE 3 (Supra max) ,,"2,5",,,,,,"2,5","3,806333739",,,,,,,,,
VITESSE (FR),"0,8",,,,"0,6","1,2",,"2,6","3,958587089",,,,championnat hivernaux ,800,1500,3000,,
VOLUME,"8,43","12,07",0,6,"11,37","12,21","15,6","65,68",,,,,chronos ,1min55,3min59,8min40,,
Du 01/09/2025 Au 07/09/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,Mat > JOG 1H  Apm > MUSCU,Mat > JOG 40' Apm> TEMPO  10K 3'30/km ,Mat > JOG 1h   Apm > PROG (Sv1) ,Mat > JOG 40.              Apm > VMA 2 x (6 x 30/30 r2 3 (T)) r2 ,REPOS,Mat > RYTHME 6 x 400 r2'30 Apm > JOG 1h,SL 15K > 3 x 10' r3' (Sv1) ,,,,,,,,,,,
Chronos ,,,,,,1e 1'04 2e 1'02 3e 1'05 4e 1'04 5e 1'05 6e 1'05,,,,,,,,,,,,
ZONE 1 (E),"9,23","12,65","12,55","14,1",,"15,71","9,57","73,81","71,61152615",,,,,,,,,
ZONE 2 (Seuils) ,,"9,69","2,94",,,,"8,23","20,86","20,23867275",,,,,,,,,
ZONE 3 (Supra max) ,,,,6,,,,6,"5,821286504",,,,,,,,,
VITESSE (FR),,,,,,"2,4",,"2,4","2,328514602",,,,,,,,,
VOLUME,"9,23","22,34","15,49","20,1",0,"18,11","17,8","103,07",,,,,,,,,,
Du 08/09/2025 Au 14/09/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,Mat > JOG 1H  Apm > JOG 40 ,Sv2 >                2 x 6 r2 (3'25/km) & 4 x 4 r1'30 (3'15/km)   ,REPOS,Mat > JOG 40.              Apm > 1600 / 2 x 1200 / 2 x 800 & 400 r1/2 tW (90 > 95%) . ,JOG 1H ,Mat > JOG 40.      Apm > MUSCU & 6 x 120 r120,SL 15K > 3 x 3K r3 (Sv1) ,,,,,,,,,,,
Chronos ,,,,"1600 : 5'14 ~3'16/km
1200 : 3'50 ~3'11/km & 3'48 ~3'09/km
800 : 2'29 ~3'06/km & 2'26 ~3'02/km
400 : 1'00 ~2'30/km ",,,,,,,,,,,,,,
ZONE 1 (E),"22,1","7,75",,"15,07","12,94","10,7","9,16","77,72","77,11847589",,,,,,,,,
ZONE 2 (Seuils) ,,"8,56",,"5,6",,,"7,38","21,54","21,37328835",,,,,,,,,
ZONE 3 (Supra max) ,,,,"0,8",,"0,72",,"1,52","1,508235761",,,,,,,,,
VITESSE (FR),,,,,,,,0,0,,,,,,,,,
VOLUME,"22,1","16,31",0,"21,47","12,94","11,42","16,54","100,78",,,,,,,,,,
Du 15/09/2025 Au 21/09/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,Mat > JOG 1H  Apm > JOG 40 & 6 x 150 Côtes  ,TEMPO >         15 / 10 / 5 (3'20 > 3'00/km),MUSCU,Mat > JOG 40.              Apm > 5 x 1200 r1'30 (~3'15/km) & 2 x 400 r2 ,JOG 40',Mat > JOG 1H.           Apm> MUSCU & 6 x 150 ,SL 20K > ACTIF 1H (~4'00/km) ,,,,,,,,,,,
Chronos ,,"15' : 3'20/km
10' : 3'14/km
 5' : 3'02/km",,"1e : 3'53 ~3'14/km 
2e : 3'56 ~3'16/km
3e : 3'56 ~3'16/km
4e : 3'54 ~3'14/km
5e : 3'53 ~3'14/km
400 : 1'05 & 1'03",,,"1h : 3'53/km
~157bpm",,,,,,,,,,,
ZONE 1 (E),"18,42","6,35","1,14","14,62","8,75","10,4","18,65","78,33","81,42411642",,,,,,,,,
ZONE 2 (Seuils) ,,"7,61",,6,,,,"13,61","14,14760915",,,,,,,,,
ZONE 3 (Supra max) ,,"1,66",,"0,8",,,,"2,46","2,557172557",,,,,,,,,
VITESSE (FR),"0,9",,,,,"0,9",,"1,8","1,871101871",,,,,,,,,
VOLUME,"19,32","15,62","1,14","21,42","8,75","11,3","18,65","96,2",,,,,,,,,,
Du 22/09/2025 Au 28/09/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,HT 30',90% >               4 x 3 r2 (3'15/km),JOG 40',RYTHME >.      4 x 400m (~1'06/04) r2 ,JOG 1h,JOG 40 & 6 x 30/30 (T10+)  ,LAMBERSART > 10K ,,,,,,,,,,,
Chronos ,,,,"1 : 1'06 & 2 : 1'04
2 : 1'03 & 4 : 1'02",,,32min31s,,,,,,,,,,,
ZONE 1 (E),,"6,92","8,07","6,16","10,69","8,1","6,1","46,04","73,67578813",,,,,,,,,
ZONE 2 (Seuils) ,,"3,86",,,,"0,99",10,"14,85","23,76380221",,,,,,,,,
